features,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
ENSG00000216636.1,0,1,0,2,0,0,0,1,1,0,0,1
ENSG00000265123.2,2,1,0,0,0,0,0,1,1,0,0,0
ENSG00000220643.1,1,0,3,0,0,0,0,0,0,0,0,0
ENSG00000272288.8,17,13,14,44,12,13,47,9,18,8,50,19
ENSG00000186328.4,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000217130.1,57,66,143,155,81,69,110,96,122,115,113,77
ENSG00000124562.10,2745,2474,4487,5871,2801,2835,5229,2935,4848,4481,6623,3375
ENSG00000065060.18,323,249,269,1632,455,284,1176,433,268,355,1713,608
ENSG00000206717.1,0,0,0,0,0,0,0,1,0,0,1,1
ENSG00000252106.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000064995.19,533,535,468,918,654,556,756,586,504,524,967,710
ENSG00000064999.16,390,388,200,1176,279,388,882,344,246,253,1034,420
ENSG00000187762.5,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286550.1,0,0,0,1,0,0,2,1,0,0,0,0
ENSG00000273870.1,1,0,5,2,5,3,3,3,4,3,2,4
ENSG00000124678.20,2,0,0,12,1,0,7,0,0,0,10,0
ENSG00000146197.9,4,4,3,3,2,1,9,2,4,0,5,3
ENSG00000272374.1,6,2,2,1,0,1,11,1,8,1,7,2
ENSG00000065029.15,1889,2031,1835,2108,1549,2113,1825,1739,1695,1635,2074,2162
ENSG00000217004.1,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000023892.12,11741,11925,10040,7074,10548,12776,5939,11396,9792,6252,6769,14669
ENSG00000112033.14,1136,1269,688,1023,985,1199,804,1074,585,737,900,1321
ENSG00000227154.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112039.6,670,640,674,542,807,703,402,743,780,540,485,1006
ENSG00000198755.11,3270,2981,4544,5199,3505,3378,4406,3594,4924,4559,5385,3761
ENSG00000276712.1,1,3,3,7,2,0,3,2,1,1,3,5
ENSG00000007866.22,10,12,10,10,1,9,7,5,9,17,13,14
ENSG00000112041.13,1,0,0,0,2,0,0,0,1,0,0,0
ENSG00000228559.2,0,0,1,12,0,0,12,0,0,0,8,0
ENSG00000219023.1,49,55,85,95,68,60,64,56,115,74,92,58
ENSG00000289456.1,1,0,4,0,0,0,2,0,1,0,0,4
ENSG00000096060.15,4470,4495,3627,3434,4273,4345,2994,4119,3679,5004,4013,5220
ENSG00000218749.1,0,1,0,1,0,0,0,0,0,0,0,1
ENSG00000287458.1,0,0,0,1,1,0,3,0,0,1,3,0
ENSG00000212579.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265527.1,3,0,0,0,0,0,0,0,0,0,1,2
ENSG00000232909.1,1,0,1,2,3,0,4,2,0,0,5,0
ENSG00000157343.9,4,3,3,96,4,3,70,4,10,3,84,6
ENSG00000288747.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000220734.1,0,1,1,3,2,0,0,0,0,1,1,1
ENSG00000196748.10,1,0,1,0,1,0,0,0,0,0,0,0
ENSG00000204140.10,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000137392.10,0,1,0,0,0,0,0,0,0,1,3,0
ENSG00000197753.11,16,16,5,24,9,5,23,13,10,5,28,18
ENSG00000096063.16,1363,1331,1960,3043,1600,1317,2500,1483,1949,2483,3110,1941
ENSG00000112053.14,1,0,4,2,0,0,4,0,2,0,3,1
ENSG00000271304.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112062.12,2466,2489,2652,3925,2521,2457,3235,2464,2724,2218,3775,3560
ENSG00000237719.1,29,11,1,9,29,17,4,33,12,8,9,38
ENSG00000156711.17,1886,1845,1473,183,1071,1808,120,1240,1406,1179,161,1631
ENSG00000246982.7,7,8,6,11,5,5,5,6,4,8,9,1
ENSG00000096070.19,722,795,340,861,630,650,787,669,363,585,955,897
ENSG00000180316.13,1,0,2,2,2,1,1,2,0,0,3,1
ENSG00000189325.7,0,0,1,1,0,0,0,0,7,0,1,0
ENSG00000010030.14,407,432,849,0,566,377,2,547,712,2324,1,743
ENSG00000224666.3,0,1,0,0,1,0,0,1,1,0,1,1
ENSG00000179165.12,0,2,0,2,1,0,5,1,0,3,2,0
ENSG00000112078.14,3886,4341,3239,4216,4493,3791,3615,4599,3180,3554,4425,6090
ENSG00000240733.3,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000112079.9,2603,2547,1880,1312,1937,2432,1173,1972,1833,1143,1381,2437
ENSG00000239964.3,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112081.17,6272,6547,10643,10495,8181,6163,9496,7867,11895,10782,12227,8360
ENSG00000263894.1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000238554.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251864.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000281450.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213500.3,7,9,6,2,7,4,3,5,7,20,2,8
ENSG00000124762.14,3419,3260,5615,51,3832,3527,29,4248,5410,8080,44,5286
ENSG00000285244.1,0,0,1,0,1,0,0,0,0,0,0,1
ENSG00000255587.9,1,1,6,432,9,1,321,4,6,11,429,10
ENSG00000220349.4,0,0,0,0,0,0,4,0,0,0,3,0
ENSG00000124772.12,210,230,128,1,132,181,0,153,175,180,3,163
ENSG00000285888.1,10,12,9,0,5,6,0,7,10,4,0,3
ENSG00000287891.2,2,0,0,1,1,1,2,0,1,0,1,0
ENSG00000137168.8,1703,1798,1769,1692,1396,1741,1527,1498,1900,2172,1975,1672
ENSG00000198663.17,2699,2913,2104,1518,2575,2570,1184,2443,2018,2162,1445,3379
ENSG00000232598.2,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000164530.15,211,266,141,32,175,238,27,185,144,15,15,317
ENSG00000137409.21,6429,6620,6186,6753,6567,6488,5417,6712,6085,5605,6335,8588
ENSG00000146192.15,44,46,59,2,21,52,1,23,46,83,5,39
ENSG00000226976.3,209,216,361,285,252,250,257,246,409,358,269,220
ENSG00000216412.4,3,2,2,0,2,0,0,1,0,2,0,0
ENSG00000137193.14,18524,19712,13897,55,14263,19082,45,15214,13331,16672,48,19241
ENSG00000172738.13,13,6,20,18,8,12,14,9,23,66,11,8
ENSG00000286105.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000065491.8,757,872,803,1183,858,717,992,901,713,1079,1101,1147
ENSG00000275550.1,1,0,0,0,0,0,0,1,0,0,0,1
ENSG00000286672.1,3,1,1,1,1,0,5,0,2,0,8,3
ENSG00000112130.17,825,854,868,1236,877,879,1003,863,988,914,1353,969
ENSG00000239953.3,2,2,0,1,0,4,2,0,1,0,2,0
ENSG00000137200.13,3520,3542,2849,3270,3072,3409,2668,3315,2926,3882,3125,4796
ENSG00000198937.9,1116,1064,1831,1028,1496,1222,835,1481,2034,1347,1054,1330
ENSG00000204110.7,23,19,31,13,3,23,6,13,22,12,5,3
ENSG00000229559.2,1,1,0,0,0,1,0,0,0,0,0,0
ENSG00000227920.3,8,4,0,2,3,7,0,0,6,1,0,3
ENSG00000263926.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279942.1,5,4,0,1,2,0,0,0,0,0,2,0
ENSG00000112139.17,253,212,275,5,297,282,3,330,276,203,11,419
ENSG00000225945.1,2,1,7,5,0,2,0,0,2,5,0,3
ENSG00000156639.12,420,394,289,380,372,426,279,401,262,363,361,516
ENSG00000243313.2,1,0,0,0,0,0,1,1,0,0,1,3
ENSG00000200597.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000218521.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183826.18,599,621,250,382,706,520,265,698,249,233,391,1032
ENSG00000200706.1,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000226533.1,0,1,0,0,0,0,0,1,0,0,0,0
ENSG00000199938.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217227.1,0,1,2,4,1,1,1,2,2,4,0,2
ENSG00000124767.7,5682,5849,6288,3135,8143,5788,2886,7046,6929,6305,3548,8857
ENSG00000236355.2,0,0,2,0,0,1,0,0,1,0,0,0
ENSG00000124721.18,3,4,4,1,6,22,0,4,2,1,0,2
ENSG00000244297.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000219273.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212586.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231150.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000220076.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000220556.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112164.6,0,0,1,0,0,0,0,0,0,1,2,8
ENSG00000112167.11,342,359,293,584,317,319,589,309,342,294,651,308
ENSG00000217165.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164626.9,389,322,688,42,473,362,39,445,631,720,39,744
ENSG00000124780.14,0,0,1,1,0,0,1,0,0,0,0,0
ENSG00000095981.11,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000164627.18,3,0,1,1,0,0,0,1,2,0,1,0
ENSG00000218986.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000231276.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252990.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146122.17,3,1,1,109,0,1,61,0,0,1,90,0
ENSG00000281969.1,0,0,1,4,0,0,1,0,0,0,1,0
ENSG00000235033.7,1,0,1,4,0,0,0,0,0,0,3,0
ENSG00000124615.20,2,14,16,10,4,13,9,2,6,28,13,3
ENSG00000220586.2,0,1,4,5,3,1,1,1,4,2,3,3
ENSG00000180211.5,82,56,93,97,73,79,56,69,147,93,89,66
ENSG00000227131.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204091.8,1,1,1,0,0,0,0,0,0,0,0,0
ENSG00000226070.2,14,15,10,0,6,20,0,10,10,0,0,10
ENSG00000156564.10,71,92,19,1,28,61,3,54,20,1,0,42
ENSG00000252767.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236075.1,3,0,0,0,1,1,0,0,0,0,0,1
ENSG00000226454.3,3,1,3,0,0,4,0,0,0,0,0,0
ENSG00000237947.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124602.10,56,41,14,95,28,40,62,25,20,15,89,28
ENSG00000124596.17,401,439,580,451,466,400,459,408,664,669,489,508
ENSG00000112212.12,2,1,1,4,3,3,3,0,0,0,1,1
ENSG00000124701.6,28,29,9,19,12,21,19,12,9,7,16,31
ENSG00000001167.15,728,746,846,1401,713,808,1214,767,889,857,1431,935
ENSG00000287678.1,1,2,1,1,0,1,0,0,2,0,1,3
ENSG00000161912.19,4,2,3,4,1,1,5,1,1,0,6,1
ENSG00000290554.1,5,4,4,6,2,9,9,6,5,1,6,5
ENSG00000161911.12,0,2,1,1,1,0,1,0,0,0,1,0
ENSG00000290034.1,0,0,0,2,0,4,2,0,0,0,4,0
ENSG00000095970.17,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000112195.9,1125,1081,406,364,691,1017,265,671,495,186,372,914
ENSG00000290563.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000184106.9,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188056.12,0,0,0,2,0,2,0,0,0,0,0,0
ENSG00000212176.1,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000225690.1,2,3,1,1,6,2,0,6,1,0,0,7
ENSG00000274256.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278745.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124731.13,1,0,0,0,0,0,0,0,1,0,0,0
ENSG00000218809.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206745.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213461.3,1,0,1,0,0,1,0,0,0,0,0,0
ENSG00000096264.14,0,0,0,0,0,0,0,2,1,0,1,1
ENSG00000279284.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280371.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000234753.7,0,0,1,92,0,2,90,0,2,6,99,0
ENSG00000226917.6,0,0,0,0,0,0,1,0,0,0,2,0
ENSG00000137166.18,711,729,324,2210,600,590,1843,658,369,908,2113,863
ENSG00000266494.1,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000112559.15,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000230913.1,1,1,2,3,1,1,0,0,2,2,2,1
ENSG00000112561.19,1387,1421,935,516,1143,1427,431,1218,778,837,394,1632
ENSG00000231102.1,0,3,0,0,0,2,1,1,0,0,0,0
ENSG00000096088.16,0,0,1,158,0,1,156,0,0,1,200,0
ENSG00000269387.1,0,2,0,0,1,2,0,0,0,0,0,0
ENSG00000137218.10,154,140,110,192,134,179,166,125,149,127,177,195
ENSG00000124593.16,7,8,18,23,6,4,29,6,5,6,42,13
ENSG00000278224.7,1,0,1,2,0,0,1,1,0,0,2,0
ENSG00000214736.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164663.15,17,29,9,93,24,22,88,8,15,24,114,21
ENSG00000268745.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000288721.1,3,0,2,2,5,0,8,3,3,3,4,1
ENSG00000206977.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227516.1,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000124641.16,429,458,560,714,519,454,617,519,586,610,817,534
ENSG00000207371.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112578.10,1269,1155,1422,3538,1321,1375,2648,1376,1427,1599,3477,1721
ENSG00000112576.13,30022,30196,27182,38426,30262,31224,31234,31038,24746,25040,37144,41040
ENSG00000206875.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223946.1,1,0,0,0,1,1,0,0,0,0,1,2
ENSG00000137413.17,603,585,414,604,549,536,512,636,475,481,639,805
ENSG00000188112.10,9,7,6,7,1,8,16,3,3,6,17,9
ENSG00000287363.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290147.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000048545.18,0,0,1,1,0,0,0,0,0,0,0,1
ENSG00000112599.9,4,5,5,34,4,2,16,5,6,5,38,8
ENSG00000289216.1,1,1,2,3,1,0,3,0,0,0,8,2
ENSG00000048544.6,1269,1274,1500,1503,1462,1211,1373,1359,1486,1986,1716,1767
ENSG00000124496.13,1031,875,589,660,1089,816,481,1119,601,1167,608,1424
ENSG00000237107.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000024048.11,1465,1464,1144,1283,1323,1248,1058,1372,1095,1227,1364,1818
ENSG00000206848.1,5,0,0,0,2,0,1,1,0,0,0,1
ENSG00000112619.8,1,5,3,18,4,4,21,0,2,0,11,1
ENSG00000213435.3,2,6,0,0,3,2,4,3,3,1,1,4
ENSG00000124659.7,1325,1255,845,1143,1173,1229,928,1266,856,720,1178,1573
ENSG00000112624.13,563,545,344,405,498,499,364,436,311,294,430,553
ENSG00000146223.16,1761,1789,2176,4120,1851,1748,3391,1908,2132,3182,4493,2552
ENSG00000221821.4,109,95,115,137,95,119,113,79,105,97,169,74
ENSG00000288010.1,0,0,0,13,0,0,14,1,1,0,25,1
ENSG00000171611.10,0,0,1,22,0,0,39,0,1,0,42,0
ENSG00000287825.3,21,26,23,37,17,14,42,22,20,19,45,25
ENSG00000137161.18,2716,2825,3219,4277,2847,2921,3831,2975,3025,2373,4524,3320
ENSG00000231113.2,70,51,7,129,36,57,110,36,29,5,150,73
ENSG00000181524.6,98,133,189,205,153,128,167,145,234,176,207,173
ENSG00000124713.6,17,8,4,73,4,8,72,8,7,6,80,8
ENSG00000124587.14,782,751,1214,898,582,819,648,699,1194,1260,808,988
ENSG00000290049.1,1,0,0,6,0,0,6,2,1,1,5,1
ENSG00000112640.16,2623,2714,2180,3246,2526,2734,2512,2574,2069,2093,3034,3463
ENSG00000124733.5,1076,1022,2112,2340,1135,1125,1943,1297,2316,2217,2599,1354
ENSG00000124702.19,3259,3398,5624,7793,3415,3629,6199,3745,5466,5051,7403,4527
ENSG00000124541.7,1967,1885,2443,736,1942,1999,593,1939,2482,2708,783,2430
ENSG00000272223.1,0,1,1,3,0,0,2,0,1,0,2,1
ENSG00000240625.3,0,0,0,0,0,0,0,0,0,1,1,0
ENSG00000044090.13,568,532,442,718,420,508,621,384,442,450,663,597
ENSG00000137171.15,207,208,245,682,148,170,534,137,219,245,654,184
ENSG00000288564.1,0,0,1,0,2,0,0,2,0,1,0,1
ENSG00000112651.12,45,47,77,129,60,48,124,52,51,83,138,94
ENSG00000272170.1,0,0,0,0,0,0,0,0,0,0,5,1
ENSG00000112655.16,14,7,22,6409,24,18,4857,26,35,49,5554,13
ENSG00000112658.8,2498,2251,1596,895,2152,2566,723,2299,1641,1636,835,3185
ENSG00000112659.14,1424,1156,610,1231,879,1164,848,998,649,593,1158,1348
ENSG00000245261.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112667.13,1529,1416,2156,2392,1443,1793,1863,1470,2047,1732,2452,1524
ENSG00000146216.14,7,5,3,1,8,2,5,3,7,11,5,5
ENSG00000137204.15,0,0,0,1,0,0,1,0,1,0,0,0
ENSG00000146215.14,1,2,0,0,1,2,0,1,0,2,1,1
ENSG00000171467.16,459,476,253,493,341,426,410,318,242,211,499,442
ENSG00000219222.1,2,1,5,2,2,0,2,2,2,2,7,0
ENSG00000220614.1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000179157.4,1,2,2,10,4,2,3,4,3,3,7,9
ENSG00000226558.1,0,1,0,1,0,0,0,0,0,0,1,0
ENSG00000287055.1,3,2,8,5,2,1,5,1,4,9,7,1
ENSG00000287266.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000124574.15,2378,2451,1445,699,2265,2451,617,2594,1350,1215,687,3511
ENSG00000276770.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171462.15,99,77,36,7,58,80,6,49,16,61,4,47
ENSG00000207076.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000137221.14,812,886,701,740,754,750,646,758,606,900,791,910
ENSG00000204052.5,0,1,1,3,0,0,2,0,0,0,2,0
ENSG00000171453.20,621,650,775,2213,624,616,1807,664,771,952,2276,809
ENSG00000137207.12,2329,2509,2000,2108,2169,2709,1835,2440,1990,1835,2144,2829
ENSG00000271754.1,6,5,1,4,6,2,6,2,0,0,6,1
ENSG00000124571.18,1790,1855,2143,4990,1898,1806,4012,1908,2309,3581,4807,2436
ENSG00000219470.1,111,101,155,148,82,128,125,72,146,142,156,92
ENSG00000252218.1,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170734.12,679,645,953,555,718,771,376,758,1015,833,510,970
ENSG00000203362.2,6,2,1,1,2,1,1,0,6,1,2,1
ENSG00000172432.19,469,444,553,349,340,439,324,426,478,680,335,508
ENSG00000124688.14,500,493,1043,957,442,549,914,481,1036,1168,1023,574
ENSG00000172426.16,41,28,7,53,32,30,38,31,10,7,70,46
ENSG00000096080.12,404,470,651,730,472,480,628,477,665,717,719,545
ENSG00000218107.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236961.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000112715.26,221,281,369,947,213,241,732,218,342,944,861,229
ENSG00000272114.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283573.1,1,0,0,8,0,0,6,0,1,0,6,1
ENSG00000283215.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223469.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289313.1,0,0,1,0,0,0,0,0,0,0,2,0
ENSG00000237686.8,0,2,0,1,0,0,2,0,0,1,3,1
ENSG00000289609.2,0,1,0,32,0,0,27,0,0,2,21,0
ENSG00000181577.16,1,2,4,190,0,0,110,1,1,7,165,4
ENSG00000231881.2,6,6,2,43,1,0,17,4,4,2,27,1
ENSG00000183239.5,18,24,38,24,16,27,26,18,35,27,29,17
ENSG00000287562.1,19,11,2,18,1,4,8,0,1,3,19,4
ENSG00000180992.7,1253,1123,2028,1413,1089,1144,1322,1081,2014,2404,1554,1095
ENSG00000137216.19,412,442,198,236,270,380,201,316,176,413,218,311
ENSG00000137225.13,0,0,0,27,0,0,21,0,0,2,27,0
ENSG00000265439.2,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000262179.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112759.19,2411,2287,5467,8695,3854,2768,7217,3802,5043,5556,8982,5208
ENSG00000096384.20,27143,25822,36971,42398,29460,27426,35544,30575,36807,52439,44324,36990
ENSG00000157593.19,1960,1948,1532,1694,1776,2051,1431,1825,1475,1261,1610,2353
ENSG00000284427.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146232.17,895,1044,1163,795,745,1077,726,853,1031,2310,799,1055
ENSG00000178233.18,0,1,0,0,0,0,0,0,1,0,0,0
ENSG00000272442.2,0,0,0,0,3,1,0,0,0,2,0,0
ENSG00000146221.10,8,5,0,45,1,11,19,1,1,1,47,3
ENSG00000124608.5,861,737,725,988,805,770,822,936,760,891,1021,1357
ENSG00000249481.7,1,0,0,0,0,1,0,0,2,1,1,0
ENSG00000096401.8,1434,1628,1971,2128,1794,1532,1973,1650,2285,2233,2406,2036
ENSG00000266619.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237530.2,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000279076.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286417.1,1,0,1,0,0,0,0,2,0,0,0,1
ENSG00000196284.17,146,126,149,141,115,134,104,144,175,115,99,125
ENSG00000270900.1,0,0,0,0,1,0,0,0,1,0,1,2
ENSG00000276156.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277769.1,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000219384.1,2,1,1,0,2,0,1,2,0,0,1,3
ENSG00000207769.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124813.23,989,955,538,6,1166,789,7,1211,609,790,5,1573
ENSG00000271857.1,15,21,5,0,13,14,0,19,2,12,0,26
ENSG00000261080.1,0,2,0,0,0,0,0,0,0,0,0,1
ENSG00000112782.19,392,382,234,6,412,332,0,415,277,283,3,604
ENSG00000212468.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231769.4,2,2,8,22,13,6,16,4,7,3,31,11
ENSG00000001561.7,391,396,320,305,436,381,304,425,378,400,421,617
ENSG00000112796.10,1,5,5,0,4,0,0,0,0,0,0,3
ENSG00000229349.2,239,261,208,56,369,313,29,299,282,131,33,418
ENSG00000172348.16,669,582,146,0,914,608,0,910,114,260,0,1095
ENSG00000226541.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236466.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146233.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000153291.16,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000242973.6,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000180113.16,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146070.17,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230062.7,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000236164.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112818.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000069122.19,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000225730.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000153292.16,1,0,0,0,1,0,0,0,3,0,0,0
ENSG00000146072.6,4,0,8,1071,4,2,851,0,2,15,1081,3
ENSG00000271328.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287485.1,0,0,0,1,0,0,1,0,0,0,0,0
ENSG00000270761.2,2,2,3,7,3,1,14,8,1,3,3,3
ENSG00000198087.7,466,501,310,887,508,336,817,420,394,384,1102,515
ENSG00000199762.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000216813.1,0,0,0,1,0,0,0,1,0,1,0,0
ENSG00000164393.10,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000153294.12,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000252711.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226594.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000216616.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124818.15,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000200340.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244694.8,0,0,1,0,0,0,0,0,1,0,0,0
ENSG00000286811.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226068.1,5,10,10,12,7,10,11,11,7,3,11,7
ENSG00000216835.3,3,5,13,15,4,9,9,15,7,7,8,5
ENSG00000278736.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287137.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271162.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000218337.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000274867.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217631.1,1,1,1,1,0,0,1,3,0,1,0,1
ENSG00000252457.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277043.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000146085.8,643,657,1194,930,710,636,770,717,1169,1307,1068,872
ENSG00000031691.7,135,148,497,258,184,135,226,206,548,574,275,246
ENSG00000203972.10,0,0,1,0,0,0,1,0,0,0,1,0
ENSG00000197261.12,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000216998.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000112077.18,0,3,3,0,0,1,0,1,0,3,0,0
ENSG00000124490.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235122.4,0,0,0,0,0,1,0,0,0,0,0,1
ENSG00000279127.1,1,0,1,0,1,1,1,0,1,0,0,1
ENSG00000096006.12,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000170950.6,11,6,8,11,20,4,4,12,8,8,5,18
ENSG00000226707.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124812.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290804.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214643.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177684.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214642.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203970.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180872.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226733.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286405.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233470.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230472.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008197.5,0,0,3,0,0,0,0,0,0,0,1,0
ENSG00000008196.13,0,0,0,0,0,0,1,0,3,0,1,0
ENSG00000060303.5,6,5,6,9,13,7,14,9,14,11,12,7
ENSG00000216913.2,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000230204.1,31,29,26,128,31,38,85,27,30,23,74,44
ENSG00000270306.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232702.3,57,61,32,62,59,67,40,48,39,52,40,57
ENSG00000212532.1,0,0,0,0,0,0,0,0,0,0,0,0
